# Gold annotations for TEKNE. One row per technology per document; the expander
# in scripts/make_gold.py anchors each to every occurrence inside the evaluation
# zone. Guidelines in docs/annotation-guidelines.md.
#
# doc_id	surface	type	role	[note]
#
# ---------------------------------------------------------------- papers ----
arxiv:2609.20822v1	coding agents	method	background
arxiv:2609.20822v1	language model	method	used
arxiv:2609.20822v1	robot controller	artifact	used
arxiv:2609.20822v1	SafeHarness	artifact	proposed
arxiv:2609.20822v1	obstacle-aware harnesses	method	proposed
arxiv:2609.20822v1	Obstacle-aware route planning	method	proposed
arxiv:2609.20822v1	bounding boxes	method	used
arxiv:2609.20822v1	Obstacle-aware contact execution	method	proposed
arxiv:2609.20822v1	robot manipulation	task	unknown
arxiv:2609.20822v1	task success	metric	unknown
arxiv:2609.20822v1	collision avoidance	metric	unknown

arxiv:2609.20821v1	Embedding Models	method	used
arxiv:2609.20821v1	Embedding spaces	method	used
arxiv:2609.20821v1	embedding space	method	used
arxiv:2609.20821v1	string similarity	method	background
arxiv:2609.20821v1	semantic similarity	task	unknown

arxiv:2609.20808v1	TikTok	tool	used
arxiv:2609.20808v1	Truth Social	tool	used
arxiv:2609.20808v1	boundary construction	method	used
arxiv:2609.20808v1	threat construction	method	used
arxiv:2609.20808v1	scapegoating	method	used
arxiv:2609.20808v1	dehumanization	method	used
arxiv:2609.20808v1	computational social science	field	unknown
arxiv:2609.20808v1	single-label detection	task	compared

arxiv:2609.20804v1	coding harness	method	used
arxiv:2609.20804v1	Coding harnesses	method	used
arxiv:2609.20804v1	context management	method	compared
arxiv:2609.20804v1	rule-based elision	method	compared
arxiv:2609.20804v1	LLM-based summarization	method	compared
arxiv:2609.20804v1	SWE-Bench Verified	dataset	used
arxiv:2609.20804v1	Terminal-Bench 2.1	dataset	used
arxiv:2609.20804v1	action space	method	compared
arxiv:2609.20804v1	bash	tool	compared
arxiv:2609.20804v1	software-engineering	field	unknown

arxiv:2609.20800v1	JEPA-Anything	artifact	proposed
arxiv:2609.20800v1	orthogonal predictive factorization	method	proposed
arxiv:2609.20800v1	OPF	method	proposed
arxiv:2609.20800v1	joint-embedding predictive architectures	artifact	background
arxiv:2609.20800v1	JEPA	artifact	compared
arxiv:2609.20800v1	World modeling	task	unknown
arxiv:2609.20800v1	representation learning	task	unknown
arxiv:2609.20800v1	molecular dynamics	method	used
arxiv:2609.20800v1	Interventional Pong	dataset	used
arxiv:2609.20800v1	patient-derived organoids	artifact	used
arxiv:2609.20800v1	cell co-cultures	method	used

arxiv:2609.20784v1	RetireOPD	artifact	proposed
arxiv:2609.20784v1	Self-Retiring On-Policy Distillation	method	proposed
arxiv:2609.20784v1	on-policy distillation	method	used
arxiv:2609.20784v1	OPD	method	used
arxiv:2609.20784v1	reinforcement learning	method	used
arxiv:2609.20784v1	RL	method	used
arxiv:2609.20784v1	Adaptive Retirement	method	proposed
arxiv:2609.20784v1	Qwen2.5	artifact	used
arxiv:2609.20784v1	ALFWorld	dataset	used
arxiv:2609.20784v1	WebShop	dataset	used
arxiv:2609.20784v1	success rate	metric	unknown

arxiv:2609.20816v1	Paint-Anything	artifact	proposed
arxiv:2609.20816v1	Paint-500K	dataset	proposed
